# R1,R2,R3,ETriat,E
3.800000,3.558125,2.500000,13.798374,4.292623
2.500000,3.714517,4.000000,12.614410,3.782137
4.000000,3.714517,2.500000,12.614410,3.782137
2.600000,2.793958,2.600000,25.791223,7.307263
2.600000,2.793958,2.600000,25.791223,7.307263
2.600000,2.848937,2.700000,24.464993,7.109409
2.700000,2.848937,2.600000,24.464993,7.109409
2.600000,2.906317,2.800000,23.258811,7.016455
2.800000,2.906317,2.600000,23.258811,7.016455
2.600000,2.965960,2.900000,22.167131,7.000863
2.900000,2.965960,2.600000,22.167131,7.000863
2.600000,3.027731,3.000000,21.184813,7.040782
3.000000,3.027731,2.600000,21.184813,7.040782
2.600000,3.091503,3.100000,20.304252,7.116212
3.100000,3.091503,2.600000,20.304252,7.116212
2.600000,3.157156,3.200000,19.491001,7.184077
3.200000,3.157156,2.600000,19.491001,7.184077
2.600000,3.224573,3.300000,18.319265,6.813350
3.300000,3.224573,2.600000,18.319265,6.813350
2.600000,3.293647,3.400000,17.144346,6.357151
3.400000,3.293647,2.600000,17.144346,6.357151
2.600000,3.436362,3.600000,15.187651,5.595205
3.600000,3.436362,2.600000,15.187651,5.595205
2.600000,3.584559,3.800000,13.688486,4.993398
3.800000,3.584559,2.600000,13.688486,4.993398
2.600000,3.737585,4.000000,12.558764,4.511239
4.000000,3.737585,2.600000,12.558764,4.511239
2.800000,3.008878,2.800000,20.915876,6.794900
2.800000,3.008878,2.800000,20.915876,6.794900
2.800000,3.063769,2.900000,19.913542,6.807690
2.900000,3.063769,2.800000,19.913542,6.807690
2.800000,3.120899,3.000000,19.018050,6.874113
3.000000,3.120899,2.800000,19.018050,6.874113
2.800000,3.180149,3.100000,18.225104,6.978332
3.100000,3.180149,2.800000,18.225104,6.978332
2.800000,3.241401,3.200000,17.529272,7.107069
3.200000,3.241401,2.800000,17.529272,7.107069
2.800000,3.304545,3.300000,16.920160,7.245385
3.300000,3.304545,2.800000,16.920160,7.245385
2.800000,3.369473,3.400000,16.356003,7.349904
3.400000,3.369473,2.800000,16.356003,7.349904
2.800000,3.504285,3.600000,14.796421,6.897215
3.600000,3.504285,2.800000,14.796421,6.897215
2.800000,3.645090,3.800000,13.435735,6.363627
3.800000,3.645090,2.800000,13.435735,6.363627
2.800000,3.791220,4.000000,12.413162,5.935619
4.000000,3.791220,2.800000,12.413162,5.935619
3.000000,3.223798,3.000000,17.276690,6.990006
3.000000,3.223798,3.000000,17.276690,6.990006
3.000000,3.278613,3.100000,16.555958,7.108892
3.100000,3.278613,3.000000,16.555958,7.108892
3.000000,3.335525,3.200000,15.929492,7.251888
3.200000,3.335525,3.000000,15.929492,7.251888
3.000000,3.394430,3.300000,15.391553,7.409279
3.300000,3.394430,3.000000,15.391553,7.409279
3.000000,3.455226,3.400000,14.933778,7.571568
3.400000,3.455226,3.000000,14.933778,7.571568
3.000000,3.582101,3.600000,14.229956,7.889206
3.600000,3.582101,3.000000,14.229956,7.889206
3.000000,3.715414,3.800000,13.148850,7.566506
3.800000,3.715414,3.000000,13.148850,7.566506
3.000000,3.854499,4.000000,12.232219,7.192105
4.000000,3.854499,3.000000,12.232219,7.192105
