# R1,R2,R3,ETriat,E
2.800000,3.049872,2.500000,23.337086,7.256575
1.800000,7.575607,8.000000,9.129526,2.184482
8.000000,7.575607,1.800000,9.129526,2.184482
2.000000,3.811519,4.000000,11.990263,1.546584
4.000000,3.811519,2.000000,11.990263,1.546584
3.000000,4.872309,5.000000,10.024828,6.026382
5.000000,4.872309,3.000000,10.024828,6.026382
1.900000,5.030973,5.000000,9.484527,0.894952
5.000000,5.030973,1.900000,9.484527,0.894952
2.000000,2.773524,2.300000,33.218703,10.010157
2.300000,2.773524,2.000000,33.218703,10.010157
2.000000,3.303971,3.000000,20.315877,5.061444
3.000000,3.303971,2.000000,20.315877,5.061444
2.150000,3.220524,2.800000,22.292991,5.221697
2.800000,3.220524,2.150000,22.292991,5.221697
2.300000,3.089182,2.500000,25.250440,5.884122
2.500000,3.089182,2.300000,25.250440,5.884122
2.300000,3.839826,3.500000,13.806024,2.886447
3.500000,3.839826,2.300000,13.806024,2.886447
2.300000,7.930936,8.000000,9.353254,0.666511
8.000000,7.930936,2.300000,9.353254,0.666511
2.500000,3.556020,3.000000,17.243995,4.684388
3.000000,3.556020,2.500000,17.243995,4.684388
2.500000,7.956386,8.000000,16.281103,8.901399
8.000000,7.956386,2.500000,16.281103,8.901399
1.600000,7.602913,8.000000,9.105699,8.961103
8.000000,7.602913,1.600000,9.105699,8.961103
2.150000,3.034871,3.000000,23.153605,6.412040
3.000000,3.034871,2.150000,23.153605,6.412040
1.900000,3.363203,3.500000,16.044999,4.078514
3.500000,3.363203,1.900000,16.044999,4.078514
2.150000,2.888698,2.800000,27.009758,8.009536
2.800000,2.888698,2.150000,27.009758,8.009536
1.900000,3.796221,4.000000,11.977093,2.228972
4.000000,3.796221,1.900000,11.977093,2.228972
2.000000,4.707398,5.000000,9.660422,0.301253
5.000000,4.707398,2.000000,9.660422,0.301253
1.900000,5.970831,6.000000,9.227046,0.736131
6.000000,5.970831,1.900000,9.227046,0.736131
1.900000,9.849435,10.000000,9.167765,0.718033
10.000000,9.849435,1.900000,9.167765,0.718033
2.000000,2.917793,2.500000,29.116783,8.211183
