# R1,R2,R3,ETriat
3.200000,1.239589,4.361858,6.333966
3.200000,1.233906,1.971066,4.642293
3.200000,1.137150,2.070256,4.573432
3.200000,1.041007,2.169522,4.465635
3.200000,0.945665,2.268852,4.313753
3.200000,1.233906,1.971066,4.642293
3.200000,0.851391,2.368238,4.148640
3.200000,0.758586,2.467674,4.129907
3.800000,1.556381,2.247720,2.808028
3.800000,1.459201,2.346837,2.739410
3.800000,1.362429,2.446026,2.646207
3.800000,1.266159,2.545279,2.528316
3.800000,1.556381,2.247720,2.808029
3.800000,1.170514,2.644588,2.382994
3.800000,1.075662,2.743947,2.205883
4.000000,1.663927,2.339951,2.357377
4.000000,1.566648,2.439047,2.281563
4.000000,1.469734,2.538213,2.179266
4.000000,1.373263,2.637443,2.044924
4.000000,1.663927,2.339951,2.357378
4.000000,1.277334,2.736729,1.873390
4.000000,1.182081,2.836064,1.663299
4.500000,1.932870,2.570548,1.534806
4.500000,1.835397,2.669596,1.427255
4.500000,1.738212,2.768712,1.284603
4.500000,1.641366,2.867890,1.113111
4.500000,1.932870,2.570548,1.534807
4.500000,1.544921,2.967123,0.922276
4.500000,1.448958,3.066406,0.720640
5.000000,2.153056,2.850664,0.819061
5.000000,2.104277,2.900176,0.758453
5.000000,2.055557,2.949705,0.692208
5.000000,2.006900,2.999249,0.621266
5.000000,1.958310,3.048808,0.546575
5.000000,1.909794,3.098381,0.469046
5.000000,1.813002,3.197568,0.308793
5.000000,1.716578,3.296804,0.146886
5.000000,1.477601,3.545080,-0.231594
5.000000,1.242967,3.793584,3.740558
5.500000,2.470961,3.031809,0.372429
5.500000,2.422078,3.081286,0.323484
5.500000,2.373242,3.130780,0.270370
5.500000,2.324456,3.180290,0.213823
5.500000,2.275722,3.229815,0.154608
5.500000,2.227044,3.279354,0.093479
5.500000,2.178426,3.328907,0.031164
5.500000,2.081387,3.428053,-0.094292
5.500000,1.984642,3.527246,-0.216859
5.500000,1.744386,3.775416,-0.491883
5.500000,1.507303,4.023812,-0.709678
6.000000,2.740069,3.262463,0.051848
6.000000,2.691148,3.311925,0.009307
6.000000,2.642267,3.361403,-0.036013
6.000000,2.593429,3.410896,-0.083490
6.000000,2.544636,3.460404,-0.132474
6.000000,2.495891,3.509926,-0.182314
6.000000,2.447197,3.559461,-0.232398
6.000000,2.349972,3.658570,-0.331162
6.000000,2.252991,3.757725,-0.425381
6.000000,2.011831,4.005798,-0.630045
6.000000,1.773121,4.254097,-0.785803
9.000000,4.355107,4.646570,-0.026194
9.000000,4.306060,4.695971,-0.031008
9.000000,4.257036,4.745384,-0.036249
9.000000,4.208034,4.794809,-0.041965
9.000000,4.159056,4.844246,-0.048212
9.000000,4.110103,4.893694,-0.055049
9.000000,4.061175,4.943154,-0.062542
9.000000,3.963401,5.042105,-0.079777
9.000000,3.865739,5.141096,-0.100519
9.000000,3.622145,5.388738,-0.171566
9.000000,3.379486,5.636588,-0.274421
2.000000,3.144896,5.111459,-2.475347
2.000000,3.744004,5.711195,-1.481619
2.000000,4.343359,6.310981,-0.704958
2.000000,4.942870,6.910805,-0.278948
2.000000,5.442545,7.410679,-0.112438
2.000000,5.942274,7.910570,-0.036060
2.000000,6.442046,8.410473,-0.002798
2.000000,6.941850,8.910387,0.011207
2.000000,7.941533,9.910242,0.019444
2.000000,8.941287,10.910120,0.020956
2.000000,9.941090,11.910020,0.021298
1.800000,2.052311,3.820775,-3.468315
1.800000,2.451183,4.220517,-3.250965
1.800000,2.850372,4.620303,-2.765930
1.800000,3.249759,5.020124,-2.056284
1.800000,3.849079,5.619903,-0.976159
1.800000,4.448583,6.219724,-0.638568
1.800000,5.048204,6.819577,-0.246794
1.800000,5.547951,7.319473,-0.095966
1.800000,6.047740,7.819382,-0.027296
1.800000,6.547561,8.319302,0.002392
1.800000,7.047408,8.819231,0.014744
