R1,R2,R3,ETriat,EDiat,E
6.500000,3.407475,9.767972,-0.279188,-0.325349,-0.604537
6.500000,3.604443,9.967693,-0.192849,-0.220270,-0.413119
6.500000,4.098150,10.467040,-0.067910,-0.092584,-0.160494
6.500000,4.593219,10.966450,-0.022764,-0.049538,-0.072302
6.500000,5.585992,11.965420,0.000517,-0.023640,-0.023123
6.500000,6.580954,12.964540,0.003089,-0.014928,-0.011840
6.500000,7.577242,13.963790,-0.006302,-0.010939,-0.017240
7.500000,1.043370,8.180655,-1.206699,16.067279,14.860580
7.500000,1.239905,8.429999,-1.148257,6.829121,5.680864
7.500000,1.676262,8.928798,-1.034930,-0.755090,-1.790020
7.500000,2.140641,9.427724,-0.879186,-1.894282,-2.773468
7.500000,2.426074,9.727132,-0.743870,-1.595607,-2.339477
7.500000,2.908320,10.226220,-0.423949,-0.834709,-1.258658
7.500000,3.102792,10.425880,-0.293775,-0.589927,-0.883701
7.500000,3.591630,10.925090,-0.067733,-0.225723,-0.293456
7.500000,4.083172,11.424370,0.007834,-0.094620,-0.086786
7.500000,5.071220,12.423090,0.055768,-0.032650,0.023117
7.500000,6.063188,13.422010,0.065311,-0.018492,0.046819
7.500000,7.057424,14.421080,0.066394,-0.012553,0.053841
1.400000,1.115242,2.488792,-2.847513,31.021763,28.174250
1.400000,1.164911,2.538742,-2.827532,28.824932,25.997400
1.400000,1.264328,2.638648,-2.824353,25.417873,22.593520
1.400000,1.463399,2.838480,-2.908281,21.376601,18.468320
1.400000,1.662693,3.038334,-3.036244,19.563454,16.527210
1.400000,2.061692,3.438093,-3.206029,18.951689,15.745660
1.400000,2.461016,3.837902,-3.104416,19.703136,16.598720
1.400000,2.860529,4.237747,-2.684578,20.554238,17.869660
1.400000,3.260161,4.637619,-2.006658,21.128228,19.121570
1.400000,3.759811,5.137487,-1.151823,21.462263,20.310440
1.400000,4.259544,5.637379,-0.884685,21.580345,20.695660
1.400000,4.759332,6.137288,-0.446754,21.624584,21.177830
1.400000,5.259161,6.637210,-0.210914,21.644224,21.433310
1.400000,5.759019,7.137144,-0.096955,21.654475,21.557520
1.400000,6.258901,7.637086,-0.045304,21.660494,21.615190
1.400000,8.258569,9.636915,-0.008936,21.669296,21.660360
1.500000,1.063786,2.534561,-2.907466,24.171776,21.264310
1.500000,1.113369,2.584506,-2.893882,21.557752,18.663870
1.500000,1.212638,2.684402,-2.902949,17.487959,14.585010
1.500000,1.411485,2.884215,-3.002924,12.591262,9.588338
1.500000,1.610617,3.084053,-3.138394,10.299657,7.161263
1.500000,2.009400,3.483784,-3.308118,9.259199,5.951081
1.500000,2.408586,3.883570,-3.204450,9.880370,6.675920
1.500000,2.808003,4.283396,-2.787228,10.715999,7.928771
1.500000,3.207566,4.683252,-2.098235,11.313578,9.215343
1.500000,3.707152,5.183103,-1.073980,11.673310,10.599330
1.500000,4.206837,5.682981,-0.268898,11.800908,11.532010
1.500000,4.706588,6.182878,-0.478534,11.847704,11.369170
1.500000,5.206388,6.682791,-0.222876,11.868036,11.645160
1.500000,5.706222,7.182715,-0.098685,11.878515,11.779830
1.500000,6.206083,7.682650,-0.042477,11.884647,11.842170
1.500000,8.205697,9.682456,-0.002860,11.893680,11.890820
1.600000,1.012579,2.580344,-2.950722,20.675132,17.724410
1.600000,1.062056,2.630284,-2.942534,17.570554,14.628020
1.600000,1.161144,2.730169,-2.961515,12.723466,9.761951
1.600000,1.359721,2.929963,-3.074369,6.828757,3.754388
1.600000,1.558662,3.129784,-3.215705,3.981258,0.765553
1.600000,1.957192,3.529486,-3.388784,2.445567,-0.943218
1.600000,2.356219,3.929249,-3.290162,2.913898,-0.376264
1.600000,2.755529,4.329056,-2.889871,3.726582,0.836711
1.600000,3.155014,4.728895,-2.217991,4.347045,2.129054
1.600000,3.654528,5.228729,-1.185211,4.734985,3.549774
1.600000,4.154160,5.728592,-0.336053,4.873703,4.537650
1.600000,4.653870,6.228477,-0.507753,4.923576,4.415823
1.600000,5.153637,6.728378,-0.233246,4.944754,4.711508
1.600000,5.653444,7.228294,-0.099042,4.955514,4.856472
1.600000,6.153284,7.728220,-0.038233,4.961777,4.923544
1.600000,8.152837,9.728002,0.004778,4.971059,4.975837
1.700000,0.961661,2.626140,-2.968821,19.862091,16.893270
1.700000,1.011007,2.676074,-2.967248,16.182008,13.214760
1.700000,1.109875,2.775949,-2.994959,10.422998,7.428039
1.700000,1.308126,2.975724,-3.119384,3.364110,0.244725
1.700000,1.506840,3.175527,-3.265406,-0.128901,-3.394307
1.700000,1.905075,3.575200,-3.443421,-2.236484,-5.679905
1.700000,2.303922,3.974939,-3.352987,-1.946721,-5.299708
1.700000,2.703109,4.374726,-2.975576,-1.165759,-4.141335
1.700000,3.102506,4.774548,-2.332842,-0.523893,-2.856735
1.700000,3.601941,5.274364,-1.323218,-0.105414,-1.428632
1.700000,4.101513,5.774211,-0.519508,0.046161,-0.473347
1.700000,4.601178,6.274083,-0.522743,0.099691,-0.423052
1.700000,5.100909,6.773974,-0.226569,0.121887,-0.104682
1.700000,5.600687,7.273880,-0.084554,0.132982,0.048427
1.700000,6.100502,7.773798,-0.020111,0.139397,0.119286
1.700000,8.099991,9.773553,0.025676,0.148947,0.174623
1.800000,0.837487,2.597060,-2.922595,29.276575,26.353980
1.800000,0.813012,2.572099,-2.892992,32.399142,29.506150
1.800000,0.788571,2.547139,-2.844743,35.776533,32.931790
1.800000,0.764166,2.522179,-2.769383,39.426153,36.656770
1.800000,0.739800,2.497221,-2.656096,43.365946,40.709850
1.800000,0.715479,2.472263,-2.491241,47.614371,45.123130
1.800000,0.691205,2.447306,-2.257839,52.190409,49.932570
1.800000,0.666986,2.422350,-1.934979,57.113509,55.178530
2.000000,0.738408,2.688727,-2.454832,40.599382,38.144550
2.000000,0.714251,2.663772,-2.256247,44.835497,42.579250
2.000000,0.690154,2.638817,-1.986834,49.392724,47.405890
2.000000,0.666124,2.613864,-1.625997,54.289297,52.663300
2.000000,0.642168,2.588912,-1.148545,59.543655,58.395110
2.000000,0.618295,2.563960,-0.523941,65.174391,64.650450
2.000000,0.594514,2.539009,0.284961,71.200059,71.485020
2.000000,0.570837,2.514060,1.323182,77.638988,78.962170
2.400000,0.550064,2.872181,2.968994,83.890556,86.859550
2.400000,0.527338,2.847238,4.596208,90.926922,95.523130
2.800000,0.390760,3.055773,27.833143,147.256857,175.090000
2.800000,0.372579,3.030841,33.971604,156.086396,190.058000
3.200000,1.239589,4.361858,6.333966,3.720374,10.054340
3.200000,1.233906,1.971066,4.642293,0.647354,5.289647
3.200000,1.137150,2.070256,4.573432,4.587153,9.160585
3.200000,1.041007,2.169522,4.465635,10.003425,14.469060
3.200000,0.945665,2.268852,4.313753,17.356647,21.670400
3.200000,1.233906,1.971066,4.642293,0.647354,5.289647
3.200000,0.851391,2.368238,4.148640,27.245320,31.393960
3.200000,0.758586,2.467674,4.129907,40.367373,44.497280
3.800000,1.556381,2.247720,2.808028,-3.564898,-0.756870
3.800000,1.459201,2.346837,2.739410,-2.065364,0.674046
3.800000,1.362429,2.446026,2.646207,-0.019879,2.626328
3.800000,1.266159,2.545279,2.528316,2.733082,5.261398
3.800000,1.556381,2.247720,2.808029,-3.564898,-0.756869
3.800000,1.170514,2.644588,2.382994,6.412431,8.795425
