Variables = "r1", "r2", "r3", "E"
   2.445100E+00,   9.593000E+00,   9.041200E+00,   1.390411E-04
   2.907900E+00,   4.298100E+00,   3.501500E+00,   2.664089E+00
   5.764900E+00,   1.528500E+01,   9.528100E+00,  -7.974671E-09
   4.366700E+00,   1.086100E+01,   6.523000E+00,  -7.630635E-05
   2.964100E+00,   4.050900E+00,   3.996800E+00,   2.054977E+00
   9.261000E+00,   1.582800E+01,   6.582100E+00,  -7.372460E-12
   3.627100E+00,   7.743000E+00,   7.197300E+00,   6.033975E-03
   6.365100E+00,   1.111400E+01,   8.429400E+00,   3.883353E-08
   6.664200E+00,   8.071600E+00,   1.759200E+00,   9.214931E-04
   8.381100E+00,   9.289100E+00,   2.258900E+00,   7.921490E-05
   8.563000E+00,   1.477600E+01,   7.318700E+00,   5.017992E-14
   6.589500E+00,   8.905000E+00,   5.828800E+00,   2.246698E-04
   8.321800E+00,   1.358000E+01,   9.817900E+00,   3.601987E-14
   7.006300E+00,   1.566500E+01,   9.757800E+00,  -5.684087E-14
   3.434600E+00,   1.063000E+01,   7.454500E+00,  -5.121295E-04
   5.059700E+00,   6.460400E+00,   2.331000E+00,   1.906188E-01
   1.578800E+00,   1.776700E+00,   1.589000E+00,  -2.463694E+00
   9.724800E+00,   1.214700E+01,   2.994000E+00,  -1.169025E-04
   5.736500E+00,   1.003200E+01,   6.501400E+00,   2.573592E-05
   4.190500E+00,   7.185500E+00,   4.138700E+00,   1.702794E-01
   5.026600E+00,   6.989700E+00,   2.081400E+00,   1.700848E-01
   6.812900E+00,   1.594600E+01,   9.273900E+00,  -6.902521E-13
   6.764000E+00,   8.197900E+00,   1.721300E+00,   3.786551E-04
   8.539600E+00,   8.526600E+00,   8.306500E+00,   6.471065E-07
   4.363900E+00,   1.278300E+01,   8.432700E+00,  -3.665743E-05
   4.156400E+00,   1.023600E+01,   6.756900E+00,  -7.187507E-05
   7.048500E+00,   1.567800E+01,   9.015900E+00,  -5.786215E-14
   4.092200E+00,   8.811300E+00,   6.495200E+00,   1.510862E-03
   8.736300E+00,   8.921200E+00,   1.639700E+00,  -9.441240E-05
   4.533000E+00,   7.578500E+00,   7.799100E+00,   1.688689E-03
   7.465400E+00,   1.374000E+01,   8.225100E+00,   2.624144E-12
   9.501100E+00,   1.212300E+01,   3.221500E+00,  -1.322375E-04
   5.053500E+00,   8.229800E+00,   6.248500E+00,   2.341084E-03
   6.330900E+00,   1.499500E+01,   8.690200E+00,  -1.056417E-10
   9.245500E+00,   9.613700E+00,   8.076700E+00,   2.401317E-08
   6.843600E+00,   7.554100E+00,   1.848100E+00,  -1.139682E-03
   2.377300E+00,   4.156100E+00,   2.430600E+00,   9.628269E+00
   2.557800E+00,   7.177200E+00,   7.053600E+00,   1.481503E-02
   6.531400E+00,   1.082700E+01,   4.863100E+00,   8.202599E-06
   2.589600E+00,   6.805100E+00,   5.798700E+00,   7.540823E-02
   4.324500E+00,   1.036800E+01,   6.051800E+00,   9.055872E-05
   5.545000E+00,   1.028500E+01,   6.588400E+00,   1.689725E-05
   9.203500E+00,   9.187300E+00,   2.044000E+00,   5.386534E-05
   9.794400E+00,   9.848300E+00,   4.066800E+00,   8.055927E-05
   3.074100E+00,   4.906500E+00,   4.732000E+00,   4.431446E-01
   2.351400E+00,   3.826500E+00,   3.401800E+00,   4.890196E+00
   9.971600E+00,   1.073700E+01,   1.911900E+00,   1.019999E-05
   2.118100E+00,   3.289500E+00,   2.055200E+00,   1.775936E+01
   1.914300E+00,   9.361500E+00,   8.940100E+00,   1.926497E-05
   6.802700E+00,   1.379800E+01,   7.712300E+00,   3.060111E-11
   2.725500E+00,   8.358300E+00,   6.106900E+00,   9.634861E-03
   9.609500E+00,   1.282800E+01,   4.592900E+00,  -3.051312E-06
   3.159700E+00,   9.859100E+00,   6.732900E+00,  -8.314104E-04
   6.184900E+00,   7.934000E+00,   4.174300E+00,   8.204413E-03
